iter	MultiClass
0	1.098059741
1	1.097637035
2	1.097177179
3	1.096753087
4	1.096231008
5	1.095709197
6	1.095234653
7	1.094868406
8	1.094518659
9	1.094133228
10	1.093565624
11	1.09321412
12	1.092844289
13	1.092412694
14	1.092116919
15	1.091648179
16	1.091236265
17	1.090758991
18	1.090236288
19	1.089882121
20	1.089331719
21	1.088788227
22	1.088297188
23	1.087742541
24	1.087383225
25	1.087121837
26	1.086628725
27	1.086089903
28	1.085559982
29	1.085160266
30	1.084810544
31	1.084284573
32	1.083917101
33	1.083674046
34	1.083370419
35	1.082868909
36	1.082368704
37	1.082064718
38	1.081639492
39	1.081251518
40	1.080871972
41	1.080547248
42	1.080117419
43	1.079777341
44	1.079316039
45	1.078838539
46	1.078833658
47	1.078296571
48	1.077967659
49	1.077586012
50	1.077091779
